               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.020093,           0.0075703,           0.0021448,             0.98851,             0.97234,             0.99021,              0.8942,           0.0097415,             0.00296,           0.0013642,           0.0054955,           0.0054955,           0.0054955
                  93,            0.021817,           0.0079579,           0.0028117,             0.99396,             0.97012,             0.98979,             0.89175,           0.0088842,           0.0029877,             0.00126,            0.005446,            0.005446,            0.005446
                  94,            0.019524,           0.0076693,           0.0024932,             0.98587,             0.97877,             0.98972,             0.89048,            0.009051,           0.0029763,           0.0010963,           0.0053965,           0.0053965,           0.0053965
                  95,            0.018043,           0.0071704,           0.0021338,             0.98812,             0.97469,             0.98945,             0.89128,           0.0086451,           0.0030489,          0.00098098,            0.005347,            0.005347,            0.005347
                  96,            0.019053,           0.0078755,           0.0023352,              0.9871,             0.98736,             0.98976,             0.89144,           0.0081624,           0.0028837,           0.0010297,           0.0052975,           0.0052975,           0.0052975
                  97,            0.017523,           0.0071552,            0.001883,             0.98216,             0.99285,             0.99079,             0.88412,           0.0084109,           0.0029079,           0.0010833,            0.005248,            0.005248,            0.005248
                  98,            0.021168,           0.0072992,           0.0022531,             0.97748,             0.98044,             0.98998,             0.87832,           0.0082843,           0.0029384,           0.0011721,           0.0051985,           0.0051985,           0.0051985
                  99,            0.018641,           0.0076223,           0.0019411,             0.97739,             0.96829,             0.98745,              0.8782,           0.0091281,           0.0030328,          0.00098868,            0.005149,            0.005149,            0.005149
                 100,             0.01841,           0.0074651,           0.0014848,             0.95544,             0.97679,             0.98638,             0.88226,           0.0091392,           0.0030328,           0.0010066,           0.0050995,           0.0050995,           0.0050995
                 101,            0.017769,           0.0073283,            0.001687,             0.97489,             0.97929,              0.9887,             0.89294,           0.0088246,           0.0028989,           0.0010627,             0.00505,             0.00505,             0.00505
                 102,            0.018868,           0.0070832,           0.0024825,              0.9833,             0.98688,             0.99062,             0.89508,           0.0084117,           0.0027996,            0.001044,           0.0050005,           0.0050005,           0.0050005
