               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.026837,            0.011308,              0.0043,             0.89678,             0.88082,              0.9552,             0.74896,            0.013376,           0.0051228,           0.0022093,             0.00604,             0.00604,             0.00604
                  82,            0.023804,            0.011179,           0.0037141,             0.92472,             0.91989,             0.96844,              0.7613,            0.013801,           0.0048481,           0.0018802,           0.0059905,           0.0059905,           0.0059905
                  83,            0.025544,            0.011298,           0.0035304,              0.9047,             0.92508,             0.95491,              0.7312,            0.014791,           0.0048595,           0.0017075,            0.005941,            0.005941,            0.005941
                  84,            0.024137,            0.010952,           0.0046248,             0.92265,             0.90782,             0.96037,             0.74552,              0.0136,           0.0045207,           0.0015622,           0.0058915,           0.0058915,           0.0058915
                  85,            0.024012,            0.010791,           0.0039756,             0.91659,             0.91927,             0.96441,             0.76336,            0.013459,           0.0047844,           0.0016279,            0.005842,            0.005842,            0.005842
                  86,            0.024663,             0.01067,           0.0051119,             0.94217,             0.93162,             0.97387,              0.7726,            0.013554,            0.004471,           0.0017321,           0.0057925,           0.0057925,           0.0057925
                  87,            0.027281,            0.010754,           0.0035553,             0.94017,             0.96102,             0.97816,             0.77557,            0.012563,           0.0045052,           0.0019941,            0.005743,            0.005743,            0.005743
                  88,            0.025735,            0.010517,           0.0032819,             0.93464,             0.92575,             0.97637,             0.76442,            0.012759,           0.0048388,           0.0020886,           0.0056935,           0.0056935,           0.0056935
                  89,            0.025167,            0.010555,           0.0041388,             0.95319,             0.90742,             0.97085,             0.77068,            0.012983,           0.0049411,           0.0019602,            0.005644,            0.005644,            0.005644
                  90,             0.02383,             0.01045,           0.0027273,             0.89298,             0.93433,             0.96913,             0.77014,            0.012539,           0.0045236,           0.0027103,           0.0055945,           0.0055945,           0.0055945
                  91,             0.02389,            0.010791,           0.0030449,              0.9184,             0.93823,             0.96989,             0.77727,            0.012064,           0.0046512,           0.0020721,            0.005545,            0.005545,            0.005545
                  92,            0.025532,            0.010487,            0.002725,             0.92413,             0.90829,             0.95785,             0.75556,            0.013696,           0.0046818,             0.00238,           0.0054955,           0.0054955,           0.0054955
                  93,            0.026556,            0.011015,           0.0035015,             0.86738,             0.85694,             0.93449,             0.74318,            0.015459,           0.0048681,           0.0034273,            0.005446,            0.005446,            0.005446
                  94,            0.023722,            0.010764,           0.0032434,             0.92965,             0.92452,              0.9766,             0.78332,            0.013123,           0.0045756,           0.0025585,           0.0053965,           0.0053965,           0.0053965
                  95,            0.022494,            0.010261,           0.0033053,             0.91632,             0.94106,              0.9708,             0.77031,            0.013009,           0.0045754,           0.0020405,            0.005347,            0.005347,            0.005347
                  96,            0.022854,            0.011002,            0.003544,             0.88858,             0.93047,             0.96612,             0.76655,            0.012776,           0.0045736,           0.0019648,           0.0052975,           0.0052975,           0.0052975
                  97,            0.021451,            0.010295,           0.0022261,             0.93477,             0.90733,             0.97126,             0.76471,            0.012861,           0.0046597,           0.0022763,            0.005248,            0.005248,            0.005248
                  98,            0.024913,            0.010318,           0.0031671,             0.91098,             0.89634,             0.96214,             0.76705,            0.012769,           0.0047477,            0.002512,           0.0051985,           0.0051985,           0.0051985
                  99,            0.022941,             0.01064,           0.0029957,             0.89362,             0.87038,             0.94394,             0.75688,            0.013685,           0.0048062,           0.0026595,            0.005149,            0.005149,            0.005149
                 100,            0.022298,            0.010581,           0.0025423,              0.8981,             0.92415,             0.95566,             0.76334,            0.013935,           0.0045559,           0.0020332,           0.0050995,           0.0050995,           0.0050995
                 101,            0.021793,            0.010622,           0.0031574,             0.92097,             0.93017,             0.96617,             0.77527,            0.012854,           0.0043275,           0.0021906,             0.00505,             0.00505,             0.00505
                 102,            0.023795,             0.01019,           0.0033513,             0.91877,             0.91932,             0.96714,             0.77913,            0.012569,           0.0044539,           0.0023258,           0.0050005,           0.0050005,           0.0050005
                 103,            0.023799,            0.010298,           0.0042246,             0.91177,             0.90617,             0.95805,             0.76451,               0.013,           0.0045875,           0.0021597,            0.004951,            0.004951,            0.004951
                 104,            0.023839,             0.01048,           0.0026286,             0.87817,              0.9369,             0.96039,             0.76398,            0.012963,           0.0045781,           0.0020576,           0.0049015,           0.0049015,           0.0049015
                 105,            0.022498,            0.010294,           0.0026958,             0.87566,             0.94315,             0.95815,              0.7661,            0.013203,           0.0046168,           0.0019611,            0.004852,            0.004852,            0.004852
                 106,            0.023375,            0.010302,           0.0025814,             0.92874,              0.9251,             0.96565,             0.77212,            0.013781,           0.0044317,           0.0018062,           0.0048025,           0.0048025,           0.0048025
                 107,            0.023891,            0.010286,           0.0029425,             0.91492,             0.91438,              0.9627,              0.7648,            0.013037,           0.0046062,           0.0017323,            0.004753,            0.004753,            0.004753
                 108,            0.023192,             0.01008,           0.0027726,             0.92074,             0.92603,             0.96514,             0.77008,             0.01304,           0.0044624,           0.0018313,           0.0047035,           0.0047035,           0.0047035
                 109,            0.023029,             0.01028,           0.0023963,             0.95786,             0.90042,              0.9722,             0.76918,             0.01297,           0.0044538,           0.0014966,            0.004654,            0.004654,            0.004654
                 110,            0.023896,            0.010272,           0.0023136,             0.93081,             0.93242,             0.97643,             0.77815,             0.01272,           0.0043234,           0.0019185,           0.0046045,           0.0046045,           0.0046045
                 111,            0.021359,            0.010282,            0.002698,             0.95657,             0.91004,             0.97218,             0.77589,             0.01369,           0.0044522,           0.0015671,            0.004555,            0.004555,            0.004555
                 112,            0.023712,           0.0099881,           0.0019847,             0.93387,             0.93735,             0.97211,             0.78573,            0.013514,            0.004376,           0.0015846,           0.0045055,           0.0045055,           0.0045055
                 113,            0.021493,            0.010725,            0.002616,             0.92911,              0.9215,             0.96682,             0.77985,             0.01284,           0.0045036,             0.00174,            0.004456,            0.004456,            0.004456
                 114,            0.022693,            0.010059,           0.0019658,              0.9307,             0.93088,             0.96647,             0.78018,            0.012476,           0.0045094,           0.0017571,           0.0044065,           0.0044065,           0.0044065
                 115,             0.02204,           0.0098427,           0.0018586,             0.94667,             0.93561,             0.97167,             0.78976,            0.012159,           0.0042565,           0.0015215,            0.004357,            0.004357,            0.004357
                 116,             0.02121,            0.010228,           0.0019156,             0.93346,             0.95061,             0.97426,             0.80493,            0.012093,           0.0042009,           0.0015144,           0.0043075,           0.0043075,           0.0043075
                 117,            0.021168,           0.0097551,           0.0025654,             0.94906,             0.95038,             0.97896,             0.79794,            0.011519,           0.0041925,           0.0014532,            0.004258,            0.004258,            0.004258
                 118,            0.021175,            0.010041,           0.0024133,             0.94219,             0.94576,             0.97592,             0.79751,            0.011903,           0.0041907,           0.0015952,           0.0042085,           0.0042085,           0.0042085
                 119,            0.021911,            0.010048,           0.0028936,             0.94754,             0.92163,             0.97018,             0.79105,            0.012091,           0.0044144,           0.0015371,            0.004159,            0.004159,            0.004159
                 120,            0.022306,            0.010099,           0.0025973,             0.93675,             0.92873,             0.97124,             0.78923,            0.011902,           0.0044758,           0.0013579,           0.0041095,           0.0041095,           0.0041095
                 121,            0.022692,            0.010016,           0.0024759,              0.9389,             0.93678,             0.97338,              0.7902,            0.012128,           0.0043811,           0.0016428,             0.00406,             0.00406,             0.00406
                 122,            0.020507,           0.0097979,           0.0032299,             0.93876,             0.94815,             0.97286,             0.79577,            0.012198,           0.0042737,           0.0016804,           0.0040105,           0.0040105,           0.0040105
                 123,            0.020476,           0.0097425,           0.0025982,             0.93172,             0.94911,             0.97075,             0.78888,            0.012565,           0.0043532,           0.0013766,            0.003961,            0.003961,            0.003961
                 124,            0.020517,           0.0098802,           0.0036641,             0.91706,               0.948,             0.97075,             0.78616,            0.012435,           0.0043131,           0.0013106,           0.0039115,           0.0039115,           0.0039115
                 125,            0.021481,            0.010179,           0.0030353,             0.92231,             0.91466,             0.96026,             0.77744,            0.012316,           0.0045014,           0.0016331,            0.003862,            0.003862,            0.003862
                 126,            0.021555,            0.010121,           0.0041501,             0.92255,             0.91308,             0.95902,             0.77574,            0.012449,           0.0045339,           0.0019417,           0.0038125,           0.0038125,           0.0038125
                 127,            0.021217,           0.0095226,           0.0023582,             0.92858,             0.93484,             0.96711,             0.78594,            0.011913,           0.0044015,           0.0019527,            0.003763,            0.003763,            0.003763
                 128,            0.019784,           0.0099532,           0.0030378,             0.93614,             0.94451,             0.97118,             0.80096,            0.011651,            0.004363,           0.0014256,           0.0037135,           0.0037135,           0.0037135
                 129,            0.020606,            0.009896,            0.002197,             0.93654,             0.93216,             0.96902,             0.79436,            0.011596,           0.0043305,           0.0013729,            0.003664,            0.003664,            0.003664
                 130,            0.019711,           0.0096811,           0.0020878,             0.91719,             0.93776,             0.96811,             0.79491,            0.011809,           0.0044703,           0.0015276,           0.0036145,           0.0036145,           0.0036145
                 131,            0.021087,           0.0098002,           0.0020578,             0.94325,             0.94379,             0.97407,             0.78787,            0.011864,           0.0043466,           0.0012958,            0.003565,            0.003565,            0.003565
                 132,            0.019329,           0.0095687,           0.0021901,             0.95118,             0.95034,             0.98029,             0.79919,            0.011566,           0.0042705,           0.0011687,           0.0035155,           0.0035155,           0.0035155
                 133,            0.018907,           0.0096321,           0.0027147,             0.95399,             0.95356,             0.97849,             0.80586,            0.011547,           0.0042021,            0.001093,            0.003466,            0.003466,            0.003466
                 134,            0.021852,            0.010069,           0.0021672,             0.94067,             0.93655,             0.96978,             0.79708,            0.012387,           0.0043072,           0.0015749,           0.0034165,           0.0034165,           0.0034165
                 135,            0.020624,           0.0098574,           0.0034855,             0.92634,             0.95386,             0.97369,              0.8029,            0.012259,           0.0042067,           0.0014553,            0.003367,            0.003367,            0.003367
                 136,            0.021025,           0.0097463,           0.0024509,             0.93114,             0.95297,             0.97513,             0.80081,            0.012442,           0.0041294,           0.0014584,           0.0033175,           0.0033175,           0.0033175
                 137,             0.02091,           0.0095711,           0.0017555,             0.94717,             0.92394,             0.97119,             0.79811,             0.01214,           0.0042387,           0.0012821,            0.003268,            0.003268,            0.003268
                 138,            0.021825,            0.010052,           0.0025459,             0.91873,             0.94315,             0.96782,              0.7951,            0.012913,           0.0043259,           0.0010006,           0.0032185,           0.0032185,           0.0032185
                 139,            0.019656,           0.0097945,           0.0025112,             0.94093,             0.93355,             0.97008,             0.79125,            0.012732,           0.0042937,           0.0011326,            0.003169,            0.003169,            0.003169
                 140,            0.020536,           0.0094846,           0.0031112,             0.93785,             0.93676,             0.97161,             0.79263,            0.012493,           0.0043046,          0.00094466,           0.0031195,           0.0031195,           0.0031195
                 141,            0.020255,            0.010073,           0.0032669,             0.94205,             0.93306,             0.96879,              0.7982,             0.01171,           0.0042769,           0.0011805,             0.00307,             0.00307,             0.00307
                 142,            0.022114,           0.0092858,            0.002632,             0.92051,             0.93103,             0.96449,             0.79585,            0.012796,           0.0042996,           0.0013845,           0.0030205,           0.0030205,           0.0030205
                 143,            0.020333,            0.010027,           0.0021798,             0.92019,             0.94443,             0.96795,             0.79981,            0.011831,           0.0044702,           0.0015253,            0.002971,            0.002971,            0.002971
                 144,            0.020961,            0.009481,           0.0025525,             0.92554,             0.93136,             0.96959,             0.79425,            0.011763,           0.0043273,           0.0017591,           0.0029215,           0.0029215,           0.0029215
                 145,            0.021167,           0.0096596,           0.0028622,             0.93108,              0.9273,             0.96614,             0.79641,            0.011766,           0.0041973,           0.0015767,            0.002872,            0.002872,            0.002872
                 146,            0.019934,            0.009971,           0.0017306,             0.93533,             0.91949,             0.96297,             0.79542,            0.011714,           0.0041782,           0.0013957,           0.0028225,           0.0028225,           0.0028225
                 147,            0.021127,           0.0097962,           0.0021552,             0.92478,             0.94079,             0.96511,             0.79592,            0.012258,           0.0042025,           0.0014645,            0.002773,            0.002773,            0.002773
                 148,            0.019234,           0.0097745,           0.0024273,             0.93891,              0.9449,              0.9704,             0.80165,            0.011905,           0.0041552,           0.0015995,           0.0027235,           0.0027235,           0.0027235
                 149,            0.019162,           0.0095078,           0.0022041,             0.92717,             0.95147,             0.97031,             0.79435,            0.011997,           0.0042967,           0.0014639,            0.002674,            0.002674,            0.002674
                 150,            0.018967,           0.0092702,           0.0017257,             0.94917,             0.94457,              0.9741,             0.80765,            0.011483,           0.0041206,           0.0013517,           0.0026245,           0.0026245,           0.0026245
                 151,            0.020001,           0.0092625,           0.0020089,             0.93637,             0.95801,             0.97584,             0.80299,            0.011384,           0.0042475,           0.0011968,            0.002575,            0.002575,            0.002575
                 152,            0.020386,           0.0098862,           0.0015603,             0.92259,             0.95614,             0.97634,             0.80641,             0.01102,           0.0042517,           0.0011941,           0.0025255,           0.0025255,           0.0025255
                 153,            0.019984,           0.0095735,           0.0022083,             0.92472,             0.95426,             0.97214,             0.80156,            0.011885,           0.0042662,           0.0013185,            0.002476,            0.002476,            0.002476
                 154,            0.019089,           0.0090681,           0.0021448,             0.91733,             0.95463,             0.97066,              0.8016,             0.01175,           0.0042223,            0.001218,           0.0024265,           0.0024265,           0.0024265
                 155,            0.019564,           0.0091064,           0.0023666,             0.92868,             0.94958,             0.97492,             0.80077,            0.012124,           0.0043965,          0.00099685,            0.002377,            0.002377,            0.002377
