               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,            0.025002,             0.01227,           0.0040107,              0.9294,             0.94604,             0.97615,             0.75002,            0.013025,           0.0052669,           0.0016042,            0.004357,            0.004357,            0.004357
                 116,            0.023297,            0.012076,            0.003543,             0.94052,             0.89924,             0.96233,             0.73308,            0.013743,           0.0052513,           0.0021951,           0.0043075,           0.0043075,           0.0043075
                 117,            0.025676,            0.012219,           0.0035616,             0.93019,             0.90801,             0.96132,              0.7346,            0.014955,           0.0050274,           0.0019875,            0.004258,            0.004258,            0.004258
                 118,            0.026493,            0.012486,           0.0041107,             0.93352,             0.89188,             0.96154,             0.74599,            0.013169,           0.0051712,           0.0022336,           0.0042085,           0.0042085,           0.0042085
                 119,            0.022923,            0.012312,           0.0031276,             0.92303,             0.91733,             0.95583,             0.73495,            0.013368,           0.0050207,           0.0028097,            0.004159,            0.004159,            0.004159
                 120,            0.023382,             0.01195,           0.0055624,             0.95297,             0.91689,             0.96735,             0.75014,            0.013413,           0.0050845,             0.00228,           0.0041095,           0.0041095,           0.0041095
                 121,            0.024484,            0.011859,           0.0041967,             0.95283,             0.88948,              0.9605,             0.74141,            0.013055,           0.0050193,           0.0024412,             0.00406,             0.00406,             0.00406
                 122,            0.024925,            0.012152,           0.0044301,             0.92194,             0.92157,             0.96506,             0.74675,             0.01316,           0.0051188,           0.0024239,           0.0040105,           0.0040105,           0.0040105
                 123,            0.025033,            0.011997,           0.0039206,             0.92769,             0.93419,             0.96969,             0.74299,            0.013348,           0.0051482,           0.0021442,            0.003961,            0.003961,            0.003961
                 124,            0.024966,            0.011895,            0.003277,             0.92032,             0.93277,             0.96846,             0.75284,            0.013364,           0.0050873,           0.0017613,           0.0039115,           0.0039115,           0.0039115
                 125,            0.025186,            0.012251,            0.004149,             0.90396,             0.92766,             0.96813,             0.74478,            0.014038,           0.0050987,           0.0021776,            0.003862,            0.003862,            0.003862
                 126,            0.024617,              0.0121,           0.0038698,             0.90477,             0.93595,             0.96838,             0.73121,             0.01313,           0.0051661,           0.0020552,           0.0038125,           0.0038125,           0.0038125
                 127,            0.021842,            0.011854,           0.0038932,              0.9014,              0.9197,             0.96397,             0.73527,            0.013576,           0.0052992,           0.0021641,            0.003763,            0.003763,            0.003763
                 128,            0.023626,            0.012012,           0.0038472,             0.89103,             0.92893,              0.9627,             0.74025,            0.013608,           0.0052012,           0.0023247,           0.0037135,           0.0037135,           0.0037135
                 129,            0.023602,            0.012245,           0.0034485,             0.89629,             0.93136,             0.96191,             0.73802,            0.013441,           0.0050323,            0.002375,            0.003664,            0.003664,            0.003664
                 130,            0.022841,            0.012631,            0.003862,             0.92795,             0.90573,             0.96417,             0.75007,            0.013159,            0.005202,           0.0018223,           0.0036145,           0.0036145,           0.0036145
                 131,            0.023329,            0.012143,           0.0026788,             0.92859,             0.91369,             0.96252,             0.73824,            0.013199,           0.0052814,           0.0017487,            0.003565,            0.003565,            0.003565
                 132,            0.021732,            0.011467,           0.0037245,             0.92123,             0.91294,              0.9618,             0.73831,            0.013266,           0.0050751,           0.0016641,           0.0035155,           0.0035155,           0.0035155
                 133,            0.023006,            0.012215,              0.0032,             0.92791,              0.9065,             0.96617,             0.74052,            0.013359,           0.0051473,           0.0018247,            0.003466,            0.003466,            0.003466
                 134,            0.022697,            0.012341,           0.0045308,              0.9247,             0.90838,             0.95917,             0.72789,            0.014011,            0.005222,           0.0020266,           0.0034165,           0.0034165,           0.0034165
                 135,            0.022929,            0.011669,           0.0042929,             0.93149,             0.91417,              0.9614,             0.73911,            0.013627,           0.0052109,           0.0022707,            0.003367,            0.003367,            0.003367
                 136,            0.022632,            0.011666,           0.0037475,             0.89711,             0.91583,             0.94806,             0.73509,            0.012994,           0.0050011,           0.0036085,           0.0033175,           0.0033175,           0.0033175
                 137,            0.022781,            0.011612,           0.0045608,             0.93517,             0.89216,             0.95921,             0.74521,            0.013238,           0.0052252,           0.0023103,            0.003268,            0.003268,            0.003268
                 138,            0.025331,            0.012252,           0.0034316,             0.92325,              0.9263,             0.96645,             0.74578,             0.01318,            0.005113,           0.0018725,           0.0032185,           0.0032185,           0.0032185
                 139,            0.024046,            0.011722,           0.0039486,             0.91754,             0.91399,             0.96518,             0.73962,            0.013219,           0.0051788,           0.0020248,            0.003169,            0.003169,            0.003169
                 140,            0.022353,            0.011867,           0.0032664,             0.90485,             0.93781,             0.96332,              0.7488,             0.01283,           0.0050986,           0.0024899,           0.0031195,           0.0031195,           0.0031195
                 141,            0.022959,            0.011935,           0.0032983,             0.94073,             0.91882,             0.97014,             0.74838,            0.013303,           0.0048996,           0.0018527,             0.00307,             0.00307,             0.00307
                 142,             0.02308,            0.011743,           0.0044012,              0.9531,             0.90999,             0.97341,             0.75916,            0.013162,           0.0049972,           0.0014977,           0.0030205,           0.0030205,           0.0030205
                 143,            0.022907,            0.011937,           0.0049543,             0.92213,               0.924,             0.96754,             0.75137,            0.013439,            0.005036,           0.0017698,            0.002971,            0.002971,            0.002971
                 144,            0.023275,            0.011766,           0.0037703,             0.90992,             0.95178,             0.97171,             0.75215,            0.013192,           0.0052202,           0.0016369,           0.0029215,           0.0029215,           0.0029215
                 145,            0.022886,            0.011906,           0.0036185,             0.91065,             0.96025,             0.97152,             0.74444,            0.013351,           0.0050422,           0.0011743,            0.002872,            0.002872,            0.002872
                 146,            0.023747,            0.011108,           0.0037274,             0.91215,             0.93259,             0.97033,             0.74401,            0.013239,           0.0050549,           0.0019662,           0.0028225,           0.0028225,           0.0028225
                 147,            0.023747,            0.011655,           0.0043353,             0.90388,             0.90681,              0.9629,             0.73825,            0.014062,           0.0051571,           0.0019011,            0.002773,            0.002773,            0.002773
                 148,            0.024113,            0.011945,            0.003889,             0.93476,             0.91448,             0.96519,             0.74613,             0.01317,           0.0049981,           0.0019828,           0.0027235,           0.0027235,           0.0027235
                 149,            0.022093,             0.01186,           0.0029086,             0.94816,              0.9105,             0.96676,             0.74394,            0.012968,           0.0050124,           0.0024806,            0.002674,            0.002674,            0.002674
                 150,            0.022656,            0.011491,           0.0032708,             0.91998,             0.93623,              0.9696,              0.7517,            0.012815,           0.0050481,           0.0020863,           0.0026245,           0.0026245,           0.0026245
                 151,            0.022993,            0.011495,           0.0035896,             0.93937,             0.90672,             0.96748,             0.75785,            0.012898,           0.0051425,           0.0020673,            0.002575,            0.002575,            0.002575
                 152,            0.022567,            0.011136,           0.0036418,             0.92733,             0.93099,             0.97127,             0.76378,            0.012665,           0.0049628,           0.0019931,           0.0025255,           0.0025255,           0.0025255
                 153,            0.022565,            0.011555,           0.0031321,             0.90681,             0.93153,             0.96859,             0.75005,            0.013361,           0.0049626,           0.0017534,            0.002476,            0.002476,            0.002476
                 154,            0.023716,            0.011664,           0.0037717,             0.92965,              0.9223,             0.96883,             0.75047,            0.013621,           0.0051317,           0.0017569,           0.0024265,           0.0024265,           0.0024265
                 155,            0.021797,            0.011982,           0.0036047,             0.94686,             0.91505,             0.97184,             0.76082,            0.012844,           0.0049223,           0.0014013,            0.002377,            0.002377,            0.002377
                 156,             0.02279,            0.011738,           0.0045226,              0.9203,             0.94059,             0.97227,             0.76417,            0.013874,           0.0048848,           0.0012737,           0.0023275,           0.0023275,           0.0023275
